# sf,power,energy,firstSentPacket,packetColid,packetTotalLost
8,20,0.0129,1,0,0
10,20,0.0164,2,0,0
12,20,0.0293,3,0,0
8,20,0.0751,4,0,0
10,20,0.0787,5,0,0
10,20,0.0916,6,0,0
10,20,0.1044,7,0,0
10,20,0.1173,8,0,0
11,20,0.1302,9,0,0
11,20,0.1531,10,0,0
9,20,0.1760,11,0,0
8,20,0.1824,12,0,0
8,20,0.1860,13,0,0
10,20,0.1895,14,0,0
7,20,0.2024,15,0,0
11,20,0.2044,16,0,0
9,20,0.2273,17,0,0
8,20,0.2337,18,0,0
8,20,0.2373,19,0,0
11,20,0.2409,20,0,0
9,20,0.2638,21,0,0
8,20,0.2702,22,0,0
10,20,0.2738,23,0,0
9,20,0.2866,24,0,0
11,20,0.2931,25,0,0
11,20,0.3160,26,0,0
7,20,0.3389,27,0,0
7,20,0.3408,28,0,0
7,20,0.3428,29,0,0
9,20,0.3448,30,0,0
11,20,0.3512,31,0,0
8,20,0.3741,32,0,0
12,20,0.3777,33,0,0
9,20,0.4235,34,0,0
12,20,0.4299,35,0,0
12,20,0.4757,36,0,0
9,20,0.5215,37,0,0
11,20,0.5279,38,0,0
10,20,0.5508,39,0,0
12,20,0.5637,40,0,0
7,20,0.6095,41,0,0
12,20,0.6115,42,0,0
12,20,0.6573,43,0,0
10,20,0.7030,44,0,0
7,20,0.7159,45,0,0
12,20,0.7179,46,0,0
11,20,0.7637,47,0,0
7,20,0.7866,48,0,0
7,20,0.7885,49,0,0
7,20,0.7905,50,0,0
8,20,0.7925,51,0,0
10,20,0.7960,52,0,0
11,20,0.8089,53,0,0
12,20,0.8318,54,0,0
7,20,0.8776,55,0,0
12,20,0.8796,56,0,0
7,20,0.9254,57,0,0
8,20,0.9273,58,0,0
12,20,0.9309,59,0,0
10,20,0.9767,60,0,0
10,20,0.9896,61,0,0
12,20,1.0024,62,0,0
10,20,1.0482,63,0,0
9,20,1.0611,64,0,0
10,20,1.0675,65,0,0
7,20,1.0804,66,0,0
12,20,1.0824,67,0,0
8,20,1.1282,68,0,0
10,20,1.1318,69,0,0
10,20,1.1446,70,0,0
12,20,1.1575,71,0,0
11,20,1.2033,72,0,0
9,20,1.2262,73,0,0
7,20,1.2326,74,0,0
12,20,1.2346,75,0,0
11,20,1.2804,76,0,0
8,20,1.3033,77,0,0
11,20,1.3069,78,0,0
12,20,1.3298,79,0,0
10,20,1.3755,80,0,0
7,20,1.3884,81,0,0
7,20,1.3904,82,0,0
12,20,1.3923,83,0,0
7,20,1.4381,84,0,0
7,20,1.4401,85,0,0
7,20,1.4421,86,0,0
8,20,1.4440,87,0,0
7,20,1.4476,88,0,0
12,20,1.4496,89,0,0
10,20,1.4954,90,0,0
11,20,1.5082,91,0,0
9,20,1.5311,92,0,0
10,20,1.5376,93,0,0
11,20,1.5504,94,0,0
10,20,1.5733,95,0,0
7,20,1.5862,96,0,0
7,20,1.5882,97,0,0
9,20,1.5901,98,0,0
11,20,1.5966,99,0,0
